Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
Kia,Carnival,Prestige 7 STR,Automatic (TC),Diesel,2710000,36000,4,Ghaziabad
Kia,Carnival,Prestige 7 STR,Automatic (TC),Diesel,2710000,36000,4,Bangalore
Honda,Jazz,V,Manual,Petrol,451100,43000,7,Ahmedabad
Honda,Jazz,V,Manual,Petrol,524000,43000,7,Mumbai
Hyundai,Creta [2018-2019],SX 1.6 AT Petrol,Automatic,Petrol,770000,61000,6,Ahmedabad
Toyota,Innova Crysta [2016-2020],2.8 ZX AT 7 STR [2016-2020],Automatic,Diesel,1810000,92000,7,Ahmedabad
Toyota,Innova Crysta [2016-2020],2.4 G 8 STR,Manual,Diesel,908000,45000,6,Ahmedabad
MG,Hector [2021-2023],Sharp 1.5 Petrol Turbo DCT,Automatic (DCT),Petrol,1670000,23600,2,Ahmedabad
Skoda,Octavia [2015-2017],2.0 TDI CR Ambition,Manual,Diesel,897000,63900,9,Ahmedabad
BMW,X1 [2010-2012],sDrive20d,Automatic,Diesel,3295000,26500,3,Ahmedabad
Kia,Seltos [2019-2022],HTX 1.5,Manual,Petrol,1033000,25000,4,Ahmedabad
Jaguar,XE [2016-2019],Portfolio,Automatic,Petrol,2395000,66000,5,Ahmedabad
Skoda,Slavia,Style 1.0L TSI AT,Automatic (TC),Petrol,1370000,26500,1,Ahmedabad
Maruti Suzuki,Ertiga [2015-2018],VXi,Manual,Petrol,1112000,54000,2,Ahmedabad
Kia,Seltos [2019-2022],HTX 1.5,Manual,Petrol,1242000,35000,2,Ahmedabad
Kia,Seltos [2019-2022],HTX 1.5,Manual,Petrol,1435000,35000,2,Delhi
BMW,X3 [2018-2022],xDrive 20d Luxury Line,Automatic (TC),Diesel,4895000,48000,4,Ahmedabad
BMW,X3 [2018-2022],xDrive 20d Luxury Line,Automatic (TC),Diesel,4895000,48000,4,Bangalore
Kia,Sonet [2020-2022],GTX Plus 1.0 DCT,Automatic (DCT),Petrol,1049000,34945,3,Ahmedabad
Mahindra,Thar [2014-2020],CRDe 4x4 AC,Manual,Diesel,484700,76000,7,Ahmedabad
Porsche,Cayenne,Turbo,Automatic (TC),Petrol,16420000,37600,5,Ahmedabad
Kia,Sonet [2020-2022],GTX Plus 1.5,Manual,Diesel,854000,59436,4,Ahmedabad
BMW,X1 [2010-2012],sDrive20d,Automatic,Diesel,1870000,41400,7,Ahmedabad
Audi,Q7 [2010 - 2015],45 TDI Technology Pack,Automatic,Diesel,3220000,131000,7,Ahmedabad
Toyota,Fortuner,4X2 AT 2.8 Diesel,Automatic (TC),Diesel,3320000,111000,2,Ahmedabad
BMW,X5 [2012-2014],xDrive 30d,Automatic,Diesel,4270000,40000,7,Ahmedabad
